"_time",host,User,Process,Parent,CommandLine,DetectionReason
"2026-08-07T17:21:11.953-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -EncodedCommand VwByAGkAdABlAC0ATwB1AHQAcAB1AHQAIAAiAFMATwBDACAAUABvAHcAZQByAFMAaABlAGwAbAAgAFQAZQBzAHQAIgA=","Encoded PowerShell"
"2026-08-07T17:20:20.145-0500","WIN-11","WIN-11$","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","Other PowerShell"
"2026-08-07T16:58:14.588-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" iex SOCtest","Invoke-Expression"
"2026-08-07T16:56:50.959-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T16:53:43.835-0500","WIN-11","WIN-11$","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","Other PowerShell"
"2026-08-07T15:40:56.555-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T15:40:34.606-0500","WIN-11","WIN-11$","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","Other PowerShell"
"2026-08-07T15:28:31.973-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T15:26:19.734-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-ProcessPowerShell.exe -NoProfile -ExecutionPolicy Bypass -Command Get-ProcessPowerShell.exe -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T15:22:16.184-0500","WIN-11","WIN-11$","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","Other PowerShell"
"2026-08-07T15:00:11.498-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T15:00:01.755-0500","WIN-11",soctest,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -NoProfile -ExecutionPolicy Bypass -Command Get-Process","Execution Policy Bypass"
"2026-08-07T14:59:11.631-0500","WIN-11","WIN-11$","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","C:\Windows\explorer.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","Other PowerShell"
