"_time",host,LockedAccount,CallerComputer
"2026-08-05T21:45:37.847-0500",DC01,soctest,"WIN-11"
"2026-08-05T21:44:10.534-0500",DC01,soctest,"WIN-11"
"2026-08-05T21:42:38.257-0500",DC01,soctest,"WIN-11"
"2026-08-05T21:04:37.778-0500",DC01,soctest,"WIN-11"
"2026-08-05T20:56:27.661-0500",DC01,soctest,"WIN-11"
"2026-08-05T20:00:52.674-0500",DC01,"James.Cannon","WIN-11"
"2026-08-05T19:59:32.439-0500",DC01,"James.Cannon","WIN-11"
"2026-08-05T19:57:20.892-0500",DC01,"James.Cannon","WIN-11"
"2026-08-05T17:44:22.489-0500",DC01,"James.Cannon","WIN-11"
"2026-08-03T16:17:50.441-0500",DC01,Administrator,DC01
