"_time",host,OldValue,NewValue
"2026-08-07T21:57:28.704-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x1","HKLM\SOFTWARE\Microsoft\Windows Defender\UX Configuration\ToastOrSsoTrigger = 0x0"
"2026-08-07T21:30:41.382-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\SpyNet\LastMAPSFailureTimeString = 2026-08-05T22:54:29Z","HKLM\SOFTWARE\Microsoft\Windows Defender\SpyNet\LastMAPSFailureTimeString = 2026-08-08T02:30:41Z"
"2026-08-07T21:20:28.201-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = RefreshFeatureStatus","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = ServiceStartedSuccessfully"
"2026-08-07T21:20:28.199-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\ServiceStartStates = 0x1","Default\ServiceStartStates = 0x0"
"2026-08-07T21:20:24.257-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpyNetManagerPostRpc","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = RefreshFeatureStatus"
"2026-08-07T21:20:23.655-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = LoadingEngine","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpyNetManagerPostRpc"
"2026-08-07T21:20:23.652-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xBEAD1879","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xA5E31052"
"2026-08-07T21:20:23.651-0500","WIN-11","Default\ProductAppDataPath = C:\ProgramData\Microsoft\Windows Defender","HKLM\SOFTWARE\Microsoft\Windows Defender\ProductAppDataPath = C:\ProgramData\Microsoft\Windows Defender"
"2026-08-07T21:19:29.940-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNriAgent","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = LoadingEngine"
"2026-08-07T21:19:28.068-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNiRtpPlugin","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNriAgent"
"2026-08-07T21:19:27.390-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitRtpPlugin","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNiRtpPlugin"
"2026-08-07T21:19:26.721-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitEventConfig","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitRtpPlugin"
"2026-08-07T21:19:25.927-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpynetManager","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitEventConfig"
"2026-08-07T21:19:25.353-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitTPState","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpynetManager"
"2026-08-07T21:19:24.686-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = PostPlatformUpdate","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitTPState"
"2026-08-07T21:19:24.685-0500","WIN-11","Default\ServiceStartStates = 0x0","HKLM\SOFTWARE\Microsoft\Windows Defender\ServiceStartStates = 0x1"
"2026-08-07T21:19:07.158-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xA5E31052","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xBEAD1879"
"2026-08-07T21:19:06.647-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitAsimov","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = PostPlatformUpdate"
"2026-08-07T21:19:06.079-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = ProcessMitigations","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitAsimov"
"2026-08-07T21:19:05.560-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitializeLogging","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = ProcessMitigations"
"2026-08-07T21:19:04.442-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitializeMiscConfigLibrary","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitializeLogging"
"2026-08-07T20:40:27.667-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\ServiceStartStates = 0x1","Default\ServiceStartStates = 0x0"
"2026-08-07T20:40:10.378-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = CiEndPointSecurityPolicyInstallation","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = ServiceStartedSuccessfully"
"2026-08-07T20:40:09.801-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = RefreshFeatureStatus","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = CiEndPointSecurityPolicyInstallation"
"2026-08-07T20:40:05.216-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = DeviceControlServiceStartup","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = RefreshFeatureStatus"
"2026-08-07T20:40:04.640-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = LoadingEngine","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = DeviceControlServiceStartup"
"2026-08-07T20:40:04.637-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xBEAD1879","HKLM\SOFTWARE\Microsoft\Windows Defender\CoreService\WdConfigHash = 0xA5E31052"
"2026-08-07T20:40:04.636-0500","WIN-11","Default\ProductAppDataPath = C:\ProgramData\Microsoft\Windows Defender","HKLM\SOFTWARE\Microsoft\Windows Defender\ProductAppDataPath = C:\ProgramData\Microsoft\Windows Defender"
"2026-08-07T20:39:31.711-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNriAgent","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = LoadingEngine"
"2026-08-07T20:39:28.633-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNiRtpPlugin","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNriAgent"
"2026-08-07T20:39:27.671-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitRtpPlugin","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitNiRtpPlugin"
"2026-08-07T20:39:27.104-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitEventConfig","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitRtpPlugin"
"2026-08-07T20:39:26.534-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpynetManager","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitEventConfig"
"2026-08-07T20:39:25.776-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitTPState","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitSpynetManager"
"2026-08-07T20:39:25.190-0500","WIN-11","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = PostPlatformUpdate","HKLM\SOFTWARE\Microsoft\Windows Defender\Diagnostics\InitializingComponentProgress = InitTPState"
"2026-08-07T20:39:25.188-0500","WIN-11","Default\ServiceStartStates = 0x0","HKLM\SOFTWARE\Microsoft\Windows Defender\ServiceStartStates = 0x1"
